NAME,CREDIT,ACADEMIC_TERM_ID
국제무역협약과규칙,3,23
국제법총론,3,23
국제분쟁의이해,3,23
국제운송과물류,3,23
국제인권법,3,23
국제정치이론,3,23
국제지역경제론,3,23
국제통상론,3,23
국제통상의이해,3,23
국제통상입문,3,23
그래픽커뮤니케이션사이언스입문,3,23
그리스문학과신화이야기,3,23
극문학창작연습(캡스톤디자인),3,23
극영화제작캡스톤디자인,3,23
극장경영,2,23
근현대고승열전,2,23
근현대문학사,3,23
근현대소설특강,3,23
근현대시특강,3,23
근현대지식인의앎과삶-김법린의생애를통해본우리근현대사,3,23
글로벌경영분석론,3,23
글로벌경제지리,3,23
글로벌광고,3,23
글로벌리더십,2,23
글로벌마켓리서치,3,23
글로벌무역 세미나,3,23
글로벌물류관리론,3,23
글로벌비즈니스커뮤니케이션,3,23
글로벌서비스전략,3,23
글로벌시대의대중문화론,3,23
글로벌에콜로지컬히스토리,3,23
글로벌영작문,3,23
글로벌운영전략,3,23
글로벌파생상품전략,3,23
글로벌한국문화,3,23
글로벌한국사,3,23
금속조2(캡스톤디자인),2,23
기계공학실험,2,23
기계번역과포스트에디팅,3,23
기계전산입문,3,23
기계학습론,3,23
기구학,3,23
기기분석,3,23
기능성식품학2,3,23
기본권론,3,23
기술경영,3,23
기술보고서작성및발표,3,23
기술창업캡스톤디자인2,3,23
기술창조와특허,3,23
기업가정신과 리더십,2,23
기업실무기초(인사),2,23
기업운영의기초:수요와공급의균형,1,23
기업재무,3,23
기초반도체공학2,3,23
기초불교미술2,2,23
기초수학(인문),1,23
기초시스템생물학,2,23
기초약화학,2,23
기초예비실무실습,2,23
기초의료통계,3,23
기초전자기학,3,23
기초조소2,2,23
기초프로그래밍,3,23
기초회화2,2,23
기하학개론,3,23
기하학일반,3,23
기후학,3,23
나노바이오융합과학,3,23
나노바이오화학,3,23
나노의생명공학,3,23
나노전자기계공학,3,23
"나의 생각 : 나와 타인, 사회에 대한 인지",3,23
남북한관계사,3,23
남북한체제의비교와통합,3,23
낭만과함께하는영국낭만주의,3,23
내분비약물학,2,23
노동경제학2,3,23
노래이면실습2,1,23
노래이면실습4,1,23
노벨상으로보는생명이야기,2,23
노인복지론,3,23
노인약학,2,23
노장철학,3,23
논리와집합,3,23
논리학,3,23
논리회로설계,3,23
농구,1,23
농구지도법,1,23
뉴미디어스토리텔링,3,23
뉴미디어와광고,3,23
다국적기업입문,3,23
다문화사회실습,3,23
다문화사회와시민교육,3,23
다문화사회의 이해,3,23
다문화사회의삶,2,23
다문화이해와문화콘텐츠기획,2,23
다큐멘타리분석,3,23
다큐멘타리제작캡스톤디자인,3,23
다학제캡스톤디자인,3,23
단청문화유산실습,2,23
당대소설강독,3,23
대중문화로 읽는 현대중국,3,23
대학과청년문화,3,23
대학생물학및실험2,4,23
대학생을위한실용금융,2,23
대학생의 자기주도적 학습전략,2,23
대학통계학및실습2,4,23
대학한국어Ⅰ(독해와작문),2,23
대학한국어Ⅰ(발표와토론),2,23
대학한국어Ⅱ(독해와작문),3,23
대학한국어Ⅱ(발표와토론),2,23
댄스스포츠,1,23
더행복해지기-행복심리학,2,23
데이터경제학,3,23
데이터랭글링,3,23
데이터베이스,3,23
데이터베이스설계,3,23
데이터베이스체제,3,23
데이터분석및시각화,3,23
데이터분석입문,3,23
데이터사이언스개론,3,23
데이터사이언스캡스톤디자인,3,23
데이터생물학,3,23
데이터통신입문,3,23
